,Trek,Cost,Time,Trip Grade,Max_Altitude,Accomodation,Best_Travel_Time,Contact or Book your Trip
61,Everest Kangshung Face Trek," NPR 2,01,000", 21 Days,Demanding,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
62,Tsum Valley and Manaslu Trek," NPR 2,01,000", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
63,Khopra Ridge Community Trek," NPR 2,01,000", 13 Days,Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
64,Nepal Experience Tour," NPR 2,01,000", 12 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
65,Annapurna Circuit Trek with Tilicho Lake and Poon Hill," NPR 2,01,000", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
66,Annapurna With Tilicho Lake Trek," NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
67,Langtang Valley Trek with Ganja la Pass," NPR 2,01,000", 14 Days,Demanding,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
68,Tamang Heritage Trek," NPR 2,01,000", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
69,Manaslu and Annapurna Trek with Tilicho Lake," NPR 2,01,000", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
70,Nepal Trekking and Everest Himalaya Heli Tour," NPR 2,01,000", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
71,Nepal Hiking and Culture Tour," NPR 2,01,000", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
72,Annapurna Sunrise and Everest View Trek," NPR 2,01,000", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
73,Tenzing Hillary Everest Marathon," NPR 2,01,000", 20 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
74,Everest Base Camp Trek,"NPR 1,94,300",16 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
75,Everest Kalapathar Trekking,"NPR 1,86,260",15 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
76,Everest Panorama Trek,"NPR 1,39,360",10 Days,Easy,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
77,Everest Base Camp Trek via Gokyo Lake,"NPR 2,05,020",19 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
78,Gokyo Lake Trek,"NPR 1,59,460",13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
79,Everest Base Camp Heli Trek,"NPR 4,82,400",9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
80,Annapurna Circuit Trek,"NPR 1,47,400",19 Days,Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
81,Annapurna Base Camp Trek,"NPR 1,46,060",16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
82,Ghorepani Poon Hill Trek,"NPR 60,300",10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
83,Upper Mustang Trek,"NPR 2,81,400",17 Days,Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
84,Mardi Himal Trek,"NPR 79,000",9 Days,Easy,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
85,Langtang Valley Trekking,"NPR 95,000",11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
86,Manaslu Circuit Trek,"NPR 1,52,500",17 Days,Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
87,Annapurna Base Camp Trek,"NPR 1,40,000", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
88,Annapurna Base Camp Short Trek,"NPR 1,40,000", 11 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
89,Instant Annapurna Base Camp Trek,"NPR 1,31,320", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
90,Annapurna Base Camp Heli Trek,"NPR 2,34,500", 9 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
91,Mardi Himal Trek,"NPR 1,13,000", 9 Days,Easy,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
92,Mardi Himal Trekking,"NPR 1,13,000", 8 Days,Easy,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
93,Classic Annapurna Circuit Trek,"NPR 1,80,500", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
94,Annapurna Circuit Trek,"NPR 1,67,500", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
95,Annapurna Circuit Short Trek,"NPR 1,67,500", 12 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
96,Annapurna Luxury Trek,"NPR 1,94,500", 9 Days,Easy,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
97,Annapurna Panorama Trek,"NPR 1,94,500", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
98,Annapurna Tilicho Lake Trek,"NPR 1,94,500", 17 Days,Hard,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
99,Short Annapurna Trek,"NPR 80,000", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
100,Manaslu Circuit Trek,"NPR 1,94,500", 15 Days,Hard,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
101,Manaslu Circuit Trekking,"NPR 1,84,920", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
102,Tsum Valley with Manaslu Trek,"NPR 2,47,900", 20 Days,Hard,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
103,Upper Mustang Trek,"NPR 2,88,100", 17 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
104,Upper Mustang Trek with Yara,"NPR 3,08,200", 18 Days,Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
105,Upper Mustang Tiji Festival Trek,"NPR 2,88,100", 18 Days,Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
106,Langtang Valley Trek,"NPR 1,00,500", 10 Days,Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
107,Langtang Gosaikunda Trek,"NPR 1,58,120", 16 Days,Easy,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
108,Tamang Heritage Trek,"NPR 1,23,280", 14 Days,Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
109,Tamang Heritage Trail,"NPR 1,00,500", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
110,Helambu Trek,"1,00,500", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
111,Annapurna Base Camp Trek,"NPR 2,01,000", 11 Days,Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
112,Everest Base Camp Trek for Youths,"NPR 2,43,500", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
113,Everest Base Camp Short Trek,"NPR 2,01,000", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
114,Everest Base Camp Trek,"NPR 2,01,000", 16 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
115,Annapurna Circuit Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
116,Everest Base Camp Luxury Lodge Trek,"NPR 2,01,000", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
117,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass,"NPR 2,01,000", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
118,Upper Mustang Trek,"NPR 2,01,000", 17 Days,Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
119,Everest Advanced Base Camp Trek from Tibet,"NPR 2,01,000", 18 Days,Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
120,Gokyo Lakes and Gokyo Ri Trek,"NPR 2,01,000", 14 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
121,Mardi Himal Trek,"NPR 2,01,000", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
122,Manaslu Circuit Trek,"NPR 2,01,000", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
123,Langtang Valley Trek,"NPR 2,01,000", 11 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
124,Annapurna Sanctuary Trek,"NPR 2,01,000", 14 Days,Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
125,Rara Lake Trek,"NPR 2,01,000", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
126,Everest High Passes Trek,"NPR 2,01,000", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
127,Kanchenjunga Circuit Trek,"NPR 2,01,000", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
128,Everest View Trek,"NPR 2,01,000", 12 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
129,Tsum Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
130,The Royal Trek,"NPR 2,01,000", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
131,Makalu Base Camp Trek,"NPR 2,01,000", 22 Days,Demanding,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
132,"Langtang, Gosainkunda and Helambu Trek","NPR 2,01,000", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
133,Nar Phu Valley Trek,"NPR 2,01,000", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
134,Annapurna Circle Trek,"NPR 2,01,000", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
135,Everest Kangshung Face Trek,"NPR 2,01,000", 21 Days,Demanding,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
136,Tsum Valley and Manaslu Trek,"NPR 2,01,000", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
137,Khopra Ridge Community Trek,"NPR 2,01,000", 13 Days,Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
138,Nepal Experience Tour,"NPR 2,01,000", 12 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
139,Annapurna Circuit Trek with Tilicho Lake and Poon Hill,"NPR 2,01,000", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
140,Annapurna With Tilicho Lake Trek,"NPR 2,01,000", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
141,Langtang Valley Trek with Ganja la Pass,"NPR 2,01,000", 14 Days,Demanding,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
142,Tamang Heritage Trek,"NPR 2,01,000", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
143,Manaslu and Annapurna Trek with Tilicho Lake,"NPR 2,01,000", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
144,Nepal Trekking and Everest Himalaya Heli Tour,"NPR 2,01,000", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
145,Nepal Hiking and Culture Tour,"NPR 2,01,000", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
146,Annapurna Sunrise and Everest View Trek,"NPR 2,01,000", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
147,Tenzing Hillary Everest Marathon,"NPR 2,01,000", 20 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.himalayanglacier.com
148,Everest Base Camp Trek,"NPR 1,94,300",16 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
149,Everest Kalapathar Trekking,"NPR 1,86,260",15 Days,Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
150,Everest Panorama Trek,"NPR 1,39,360",10 Days,Easy,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
151,Everest Base Camp Trek via Gokyo Lake,"NPR 2,05,020",19 Days,Easy,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
152,Gokyo Lake Trek,"NPR 1,39,500",13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
153,Everest Base Camp Heli Trek,"NPR 4,82,400",9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
154,Annapurna Circuit Trek,"NPR 1,47,400",19 Days,Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
155,Annapurna Base Camp Trek,"NPR 1,46,060",16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
156,Ghorepani Poon Hill Trek,"NPR 60,300",10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
157,Upper Mustang Trek,"NPR 2,30,000",17 Days,Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
158,Mardi Himal Trek,"NPR 80,000",9 Days,Easy,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
159,Langtang Valley Trekking," NPR 1,00,500",11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
160,Manaslu Circuit Trek,"NPR 1,47,000",17 Days,Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.adventurehimalayacircuit.com
161,Annapurna Base Camp Trek,"NPR 1,34,000", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
162,Annapurna Base Camp Short Trek,"NPR 1,34,000", 11 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
163,Instant Annapurna Base Camp Trek,"NPR 1,14,000", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
164,Annapurna Base Camp Heli Trek,"NPR 2,34,500", 9 Days,Easy,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
165,Mardi Himal Trek,"NPR 1,13,900", 9 Days,Easy,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
